"Names","TA","Mass"
"20160616_CRM.csv",2199.11304562213,100.06,NA
"20160616_TANK10.csv",2139.48959995047,100.03,NA
"20160616_TANK11.csv",2152.56160733821,99.96,NA
"20160616_TANK12.csv",2150.07732136612,100.13,NA
"20160616_TANK13.csv",2153.322979001,100.05,NA
"20160616_TANK14.csv",2141.24137280535,100.09,NA
"20160616_TANK15.csv",2150.57666537343,100.13,NA
"20160616_TANK16.csv",2151.34031523533,100.18,NA
"20160616_TANK17.csv",2139.40089527326,99.92,NA
"20160616_TANK18.csv",2137.42719637277,99.96,NA
"20160616mass.csv",NA,NA,NA
"TA 20160616 .csv",NA,NA,NA
